epoch,loss,acc,val_loss,val_acc,epoch_time_s,session
1,0.6930346488952637,0.5208333134651184,0.6933460235595703,0.4812760055065155,40.73918776900007,1
2,0.6928648352622986,0.5197916626930237,0.6936135292053223,0.4812760055065155,12.974869439999907,1
3,0.6926073431968689,0.5204861164093018,0.6939032077789307,0.4812760055065155,13.083668266000018,1
4,0.6925271153450012,0.5204861164093018,0.6941556930541992,0.4812760055065155,13.185542834999978,1
5,0.6923810839653015,0.5204861164093018,0.6944342255592346,0.4812760055065155,13.417730437000046,1
6,0.6926677227020264,0.5204861164093018,0.6945347785949707,0.4812760055065155,13.674476680999987,1
7,0.6924882531166077,0.5204861164093018,0.6946661472320557,0.4812760055065155,13.772294623999983,1
8,0.6924216151237488,0.5204861164093018,0.6947991847991943,0.4812760055065155,13.995092831000079,1
9,0.6925416588783264,0.5204861164093018,0.6948508024215698,0.4812760055065155,14.17268976899993,1
10,0.6924615502357483,0.5204861164093018,0.6949256658554077,0.4812760055065155,14.384499954000034,1
11,0.692437469959259,0.5204861164093018,0.6949774622917175,0.4812760055065155,14.678703324000026,1
