epoch,loss,acc,val_loss,val_acc,epoch_time_s,session
1,1.0848339796066284,0.4972222149372101,0.7536345720291138,0.5797503590583801,2.5712366799998563,1
2,0.8418669104576111,0.5638889074325562,0.6769914031028748,0.6158113479614258,0.19342433200017695,1
3,0.8054000735282898,0.5826388597488403,0.6406279802322388,0.6255201101303101,0.20144804200026556,1
4,0.735328733921051,0.6156250238418579,0.613258957862854,0.6490984559059143,0.20224354300034975,1
5,0.7197059392929077,0.6215277910232544,0.5992743372917175,0.6671289801597595,0.20832011499987857,1
6,0.6627398133277893,0.6559028029441833,0.5876228213310242,0.6851595044136047,0.21456140400005097,1
7,0.642934262752533,0.6590277552604675,0.5777403116226196,0.6934812664985657,0.19561968299967702,1
8,0.6196123957633972,0.6840277910232544,0.5726876854896545,0.7045769691467285,0.21128198599990355,1
9,0.6121212244033813,0.6847222447395325,0.5636231899261475,0.7045769691467285,0.20146779099968626,1
10,0.5860711336135864,0.699999988079071,0.5553897023200989,0.7128987312316895,0.36459642399995573,1
11,0.5752322673797607,0.7013888955116272,0.5506851673126221,0.7184466123580933,0.3040707840000323,1
12,0.556570827960968,0.7010416388511658,0.5418340563774109,0.7253814339637756,0.28203840300011507,1
13,0.5585821270942688,0.7121527791023254,0.5363446474075317,0.7309292554855347,0.3923883800002841,1
14,0.5369398593902588,0.7239583134651184,0.5338566303253174,0.7295423150062561,0.37509674200009613,1
15,0.5253256559371948,0.7319444417953491,0.5254790186882019,0.740638017654419,0.32447068299961757,1
16,0.5113539099693298,0.7524305582046509,0.5210186243057251,0.7392510175704956,0.2810403020002923,1
17,0.5146960616111755,0.7427083253860474,0.5164716243743896,0.7475728392601013,0.3013938569997663,1
18,0.48838070034980774,0.7649305462837219,0.5143147706985474,0.7531206607818604,0.20799668199970256,1
19,0.48846423625946045,0.7541666626930237,0.5076357126235962,0.7614424228668213,0.5152009670000552,1
20,0.4806026816368103,0.7600694298744202,0.5014346241950989,0.7656033039093018,0.21432281600027636,1
21,0.4851134121417999,0.7614583373069763,0.4999812841415405,0.7642163634300232,0.2150459449999289,1
22,0.44591352343559265,0.793749988079071,0.4949171543121338,0.7656033039093018,0.19742977800024164,1
23,0.4660608172416687,0.7666666507720947,0.49097445607185364,0.7669903039932251,0.21704396199993425,1
24,0.4422733783721924,0.796875,0.4866352379322052,0.7725381255149841,0.1982779360000677,1
25,0.44558265805244446,0.7906249761581421,0.48424339294433594,0.7683772444725037,0.20393259200000102,1
26,0.4353637993335724,0.7965278029441833,0.48063918948173523,0.7739251255989075,0.2184449169999425,1
27,0.4328024983406067,0.7902777791023254,0.4756377041339874,0.7711511850357056,0.19994349600028727,1
28,0.42154353857040405,0.8027777671813965,0.4735308587551117,0.775312066078186,0.19570445900035338,1
29,0.4140392243862152,0.8059027791023254,0.4701186716556549,0.7739251255989075,0.21817620299998453,1
30,0.4091722369194031,0.8128471970558167,0.4686060845851898,0.7794729471206665,0.22822776199973305,1
31,0.3972298204898834,0.8208333253860474,0.46421536803245544,0.7780860066413879,0.19998758500014446,1
32,0.39407631754875183,0.8236111402511597,0.45907172560691833,0.783633828163147,0.1996263769997313,1
33,0.39855024218559265,0.8125,0.4570266902446747,0.7864077687263489,0.2017811119999351,1
34,0.3856242001056671,0.8322916626930237,0.45529282093048096,0.7905686497688293,0.21456650900017848,1
35,0.3780864179134369,0.8371527791023254,0.4524323642253876,0.7933425903320312,0.19617395199975363,1
36,0.386324018239975,0.8291666507720947,0.45215800404548645,0.7947295308113098,0.5129347220004092,1
37,0.37986433506011963,0.8350694179534912,0.4465462267398834,0.7905686497688293,0.21330796500024007,1
38,0.37157732248306274,0.8392361402511597,0.4462294578552246,0.7947295308113098,0.21896237000009933,1
39,0.3616396188735962,0.8500000238418579,0.4442136883735657,0.7975034713745117,0.21814305699990655,1
40,0.3562237620353699,0.8506944179534912,0.43983960151672363,0.7947295308113098,0.20274804800010315,1
41,0.34806638956069946,0.846875011920929,0.4364469647407532,0.8030512928962708,0.23008007999987967,1
42,0.3600796163082123,0.8479166626930237,0.43258005380630493,0.8044382929801941,0.20286084899998968,1
43,0.3491344749927521,0.8506944179534912,0.42897260189056396,0.8099861145019531,0.20311978300014744,1
44,0.34993165731430054,0.8496527671813965,0.42596015334129333,0.8169209361076355,0.20752685499974177,1
45,0.3408574163913727,0.8524305820465088,0.4251616597175598,0.8183078765869141,0.19780496499970468,1
46,0.32946428656578064,0.8666666746139526,0.4243217408657074,0.8169209361076355,0.2545156199998928,1
47,0.32774531841278076,0.8621527552604675,0.42061132192611694,0.8183078765869141,0.2925173379999251,1
48,0.33352023363113403,0.8628472089767456,0.41913604736328125,0.8224688172340393,0.6416822149999462,1
49,0.3187829256057739,0.8649305701255798,0.4148135483264923,0.8238557577133179,0.3740328829999271,1
50,0.3218761086463928,0.8677083253860474,0.41305944323539734,0.8294035792350769,0.2804701679997379,1
51,0.3126904368400574,0.8767361044883728,0.4126306176185608,0.8183078765869141,0.3415758259998256,1
52,0.3173123896121979,0.8645833134651184,0.41087183356285095,0.8280166387557983,0.3677815890000602,1
53,0.3095889091491699,0.871874988079071,0.40986135601997375,0.8280166387557983,0.29679751000003307,1
54,0.31523120403289795,0.8722222447395325,0.40635746717453003,0.8266296982765198,0.1946551629998794,1
55,0.30158793926239014,0.8815972208976746,0.4059331715106964,0.8294035792350769,0.21487453700001424,1
56,0.29557928442955017,0.8760416507720947,0.40437814593315125,0.8266296982765198,0.21273822900002415,1
57,0.3131442666053772,0.8680555820465088,0.40083134174346924,0.8307905793190002,0.21010521000016524,1
58,0.29757848381996155,0.8805555701255798,0.39701274037361145,0.8307905793190002,0.1989734909998333,1
59,0.296701043844223,0.8805555701255798,0.3958114981651306,0.8335645198822021,0.2065053739997893,1
60,0.2973521053791046,0.8795138597488403,0.39626961946487427,0.8335645198822021,0.20446474199980003,1
61,0.2953159809112549,0.8805555701255798,0.3947000205516815,0.8404992818832397,0.2039726109996991,1
62,0.280707985162735,0.890625,0.38808175921440125,0.8377254009246826,0.20003362900024513,1
63,0.28898128867149353,0.8847222328186035,0.38860875368118286,0.8377254009246826,0.20411160399999062,1
64,0.27063578367233276,0.8979166746139526,0.38581904768943787,0.8404992818832397,0.1944032569999763,1
65,0.2787204086780548,0.8864583373069763,0.384263813495636,0.8391123414039612,0.2018239710000671,1
66,0.27817502617836,0.8930555582046509,0.3837769627571106,0.8404992818832397,0.21756611800037717,1
67,0.2743242681026459,0.8916666507720947,0.38077157735824585,0.8363384008407593,0.19821915600005013,1
68,0.2788689136505127,0.8909721970558167,0.3810187876224518,0.8474341034889221,0.19538868799963893,1
69,0.2775301933288574,0.894444465637207,0.3752517104148865,0.8474341034889221,0.21079516500003592,1
70,0.26404809951782227,0.8972222208976746,0.37443283200263977,0.8474341034889221,0.22056112800009942,1
71,0.2649199664592743,0.8927083611488342,0.3773736357688904,0.844660222530365,0.20154134300037185,1
72,0.2623395621776581,0.8930555582046509,0.37496334314346313,0.8474341034889221,0.19164913199983857,1
73,0.26347240805625916,0.8993055820465088,0.37306392192840576,0.8488211035728455,0.1935340290001477,1
74,0.2611170709133148,0.8954861164093018,0.37224850058555603,0.8488211035728455,0.19905998300009742,1
75,0.2618022859096527,0.9013888835906982,0.3733164966106415,0.8432732224464417,0.20391568499962887,1
76,0.252768337726593,0.9034722447395325,0.37323734164237976,0.850208044052124,0.22883506700009093,1
77,0.24770134687423706,0.8993055820465088,0.3653826415538788,0.8488211035728455,0.19568259600009696,1
78,0.25310611724853516,0.9003472328186035,0.36869916319847107,0.8474341034889221,0.20050929399985762,1
79,0.26001179218292236,0.8951388597488403,0.36469534039497375,0.8515949845314026,0.20698573599975134,1
80,0.2517654597759247,0.8979166746139526,0.36744239926338196,0.8460471630096436,0.19784987299999557,1
81,0.25741344690322876,0.8930555582046509,0.36410725116729736,0.8515949845314026,0.19493916700002956,1
82,0.24301087856292725,0.9017361402511597,0.3638555407524109,0.8488211035728455,0.20090158599987262,1
83,0.24323934316635132,0.9097222089767456,0.3605422079563141,0.8543689250946045,0.19998310799974206,1
84,0.24721533060073853,0.9048610925674438,0.3619126081466675,0.8571428656578064,0.21435508900003697,1
85,0.2491598129272461,0.9020833373069763,0.35857659578323364,0.8571428656578064,0.30205570599991916,1
86,0.23995228111743927,0.9041666388511658,0.3597247004508972,0.850208044052124,0.2794980920002672,1
87,0.2326509654521942,0.9107638597488403,0.3549360930919647,0.8557558655738831,0.538814382000055,1
88,0.23779648542404175,0.9048610925674438,0.35326239466667175,0.8557558655738831,0.5017148450001514,1
89,0.24266643822193146,0.9072916507720947,0.35645055770874023,0.8557558655738831,0.27977230799979225,1
90,0.22391851246356964,0.9197916388511658,0.3532799482345581,0.8529819846153259,0.3822207149996757,1
91,0.2291354537010193,0.9121527671813965,0.3536553978919983,0.8613037467002869,0.2980174269996496,1
92,0.2224942147731781,0.9135416746139526,0.3502538800239563,0.8654646277427673,0.4568433289996392,1
93,0.22758890688419342,0.9121527671813965,0.3497650623321533,0.8613037467002869,0.20021023400022386,1
94,0.21977554261684418,0.9173611402511597,0.3488101065158844,0.858529806137085,0.20281077400022696,1
95,0.2256324291229248,0.909375011920929,0.34795019030570984,0.8599168062210083,0.22209833900024023,1
96,0.2150828093290329,0.9190972447395325,0.3447079658508301,0.8557558655738831,0.1995227120000891,1
97,0.21993817389011383,0.9173611402511597,0.3413202166557312,0.8571428656578064,0.20297552900001392,1
98,0.2194717675447464,0.9184027910232544,0.34228307008743286,0.8557558655738831,0.20703381100020124,1
99,0.21775038540363312,0.9197916388511658,0.34141799807548523,0.8557558655738831,0.19650020200015206,1
100,0.21688073873519897,0.9142361283302307,0.34406590461730957,0.8543689250946045,0.19191655499980698,1
101,0.22376513481140137,0.9125000238418579,0.341359943151474,0.8640776872634888,0.19706043299993325,1
102,0.21545295417308807,0.918749988079071,0.3446221351623535,0.8599168062210083,0.21402225400015595,1
103,0.21170684695243835,0.9211805462837219,0.33877208828926086,0.8599168062210083,0.19800416400039467,1
104,0.2135440558195114,0.9194444417953491,0.33944377303123474,0.858529806137085,0.20433147599987933,1
105,0.2159331887960434,0.9163194298744202,0.3373553454875946,0.8668515682220459,0.20653728699971907,1
106,0.2123212367296219,0.918749988079071,0.33957403898239136,0.8640776872634888,0.19866692100004002,1
107,0.21732079982757568,0.9152777791023254,0.33598244190216064,0.8613037467002869,0.19434917399985352,1
108,0.22066669166088104,0.9159722328186035,0.33550357818603516,0.8626906871795654,0.20042628700002751,1
109,0.2093912959098816,0.9211805462837219,0.3377293050289154,0.8640776872634888,0.1949830909998127,1
110,0.2014290988445282,0.925694465637207,0.33808767795562744,0.8654646277427673,0.19382677600015086,1
111,0.1991458684206009,0.925694465637207,0.33807456493377686,0.858529806137085,0.205476039000132,1
112,0.20280516147613525,0.9232639074325562,0.33436790108680725,0.8599168062210083,0.20890029300016977,1
113,0.1982177346944809,0.9225694537162781,0.3333016037940979,0.8654646277427673,0.20211148600037632,1
114,0.20535820722579956,0.9222221970558167,0.33011993765830994,0.8599168062210083,0.20479559500017785,1
115,0.2026301920413971,0.9232639074325562,0.33020538091659546,0.8599168062210083,0.21175210499995956,1
116,0.1999613642692566,0.9208333492279053,0.33219027519226074,0.8557558655738831,0.5137797610000234,1
117,0.19755317270755768,0.9243055582046509,0.33283743262290955,0.858529806137085,0.19255187599992496,1
118,0.2026030272245407,0.9215278029441833,0.3327401280403137,0.8599168062210083,0.21211049300018203,1
119,0.20769718289375305,0.9197916388511658,0.32736536860466003,0.8571428656578064,0.2048592819996884,1
120,0.18826594948768616,0.9302083253860474,0.33298811316490173,0.8571428656578064,0.2020906909997393,1
121,0.19306378066539764,0.9263888597488403,0.33371278643608093,0.8599168062210083,0.19381987399992795,1
122,0.19977067410945892,0.9215278029441833,0.3282279074192047,0.8723994493484497,0.20024994699997478,1
123,0.18964070081710815,0.9329861402511597,0.32760998606681824,0.8668515682220459,0.1982625730001928,1
124,0.19050797820091248,0.9229166507720947,0.3237628638744354,0.8626906871795654,0.3282496829997399,1
125,0.19441038370132446,0.9239583611488342,0.32921096682548523,0.8613037467002869,0.2768832790002307,1
126,0.18367987871170044,0.9309027791023254,0.32834166288375854,0.8696255087852478,0.28159684000002017,1
127,0.18457546830177307,0.9277777671813965,0.3310261070728302,0.8668515682220459,0.35690179499988517,1
128,0.180535227060318,0.9368055462837219,0.3301580250263214,0.8682385683059692,0.37040645300021424,1
129,0.1807941049337387,0.9291666746139526,0.3285680115222931,0.8710125088691711,0.27483834699978615,1
130,0.18427766859531403,0.9309027791023254,0.3271907866001129,0.8682385683059692,0.5559889519995522,1
131,0.18517884612083435,0.9305555820465088,0.32321274280548096,0.8696255087852478,0.3827864929999123,1
132,0.18646712601184845,0.9315972328186035,0.3205583393573761,0.8696255087852478,0.20078738799975326,1
133,0.18130743503570557,0.9274305701255798,0.32494741678237915,0.8682385683059692,0.19629478199976802,1
134,0.1849314421415329,0.9239583611488342,0.32842788100242615,0.8682385683059692,0.19590698100000736,1
135,0.18223269283771515,0.9305555820465088,0.32420650124549866,0.8640776872634888,0.21320858299986867,1
136,0.19363825023174286,0.9229166507720947,0.32414111495018005,0.8723994493484497,0.2010949810000966,1
137,0.17399808764457703,0.9375,0.32197874784469604,0.8682385683059692,0.1919572550000339,1
138,0.18223853409290314,0.9302083253860474,0.3201218247413635,0.8723994493484497,0.19874939500004984,1
139,0.172773078083992,0.9378471970558167,0.31722623109817505,0.8696255087852478,0.1933898969996335,1
140,0.1733504980802536,0.9350694417953491,0.3233986794948578,0.8613037467002869,0.19569261900005586,1
141,0.17394815385341644,0.9309027791023254,0.32059136033058167,0.8668515682220459,0.19646635999970385,1
142,0.18037202954292297,0.9208333492279053,0.3223913013935089,0.8654646277427673,0.2167121140000745,1
143,0.1709941178560257,0.9305555820465088,0.3204834759235382,0.8668515682220459,0.2006154770001558,1
144,0.17416822910308838,0.934374988079071,0.3222753405570984,0.8682385683059692,0.19568948300002376,1
145,0.1734752058982849,0.934374988079071,0.31984657049179077,0.8682385683059692,0.19873923100021784,1
146,0.17664548754692078,0.9388889074325562,0.31850868463516235,0.8668515682220459,0.20947283499981495,1
147,0.17230571806430817,0.9361110925674438,0.31774839758872986,0.8668515682220459,0.21397662300023512,1
148,0.15262888371944427,0.9468749761581421,0.3172238767147064,0.8723994493484497,0.19862065000006623,1
149,0.17080111801624298,0.9281250238418579,0.32117292284965515,0.8668515682220459,0.20893708199992034,1
150,0.1641230434179306,0.9392361044883728,0.32093676924705505,0.8710125088691711,0.19988593600010063,1
